incident_num,offence_code_group,occurred_on_date,UCR_part,latitude,longitude
I182000439,Larceny,"02/01/2018 17:51","Part One",4.231.038.717,"-7.108.054.530"
I182001610,"Larceny From Motor Vehicle","02/01/2018 20:00","Part One",4.234.797.240,"-7.107.849.582"
I182000583,Larceny,"02/01/2018 20:15","Part One",4.235.997.967,"-7.105.474.135"
I182000485,Larceny,"02/01/2018 20:32","Part One",4.227.653.731,"-7.109.339.510"
I182000540,"Larceny From Motor Vehicle","02/01/2018 21:00","Part One",4.227.875.101,"-7.106.509.431"
I182000581,Larceny,"02/01/2018 22:00","Part One",4.234.285.014,"-7.106.516.235"
I182000513,Larceny,"02/01/2018 22:30","Part One",4.232.624.204,"-7.110.317.575"
I182000511,Robbery,"02/01/2018 22:55","Part One",4.237.846.079,"-7.103.345.662"
I182000515,"Aggravated Assault","02/01/2018 23:43","Part One",4.233.122.453,"-7.109.907.131"
I182000541,"Aggravated Assault","03/01/2018 05:39","Part One",4.236.908.120,"-7.104.021.571"
I182000550,Larceny,"03/01/2018 08:09","Part One",4.235.595.391,"-7.113.852.468"
I182002244,Larceny,"03/01/2018 10:00","Part One",4.235.974.321,"-7.106.799.009"
I182002981,"Aggravated Assault","03/01/2018 10:11","Part One",4.233.794.261,"-7.105.184.093"
I182000598,Larceny,"03/01/2018 10:55","Part One",4.236.007.007,"-7.113.620.886"
I182001442,"Residential Burglary","03/01/2018 11:00","Part One",4.233.013.124,"-7.110.138.008"
I182000596,Larceny,"03/01/2018 11:41","Part One",4.234.868.544,"-7.106.608.848"
I182000616,"Aggravated Assault","03/01/2018 11:53","Part One",4.233.226.842,"-7.109.674.843"
I182000943,Larceny,"03/01/2018 12:00","Part One",4.229.919.694,"-7.106.046.974"
I182005721,"Auto Theft","03/01/2018 14:00","Part One",4.225.395.990,"-7.111.962.283"
I182000675,"Commercial Burglary","03/01/2018 14:22","Part One",4.231.532.445,"-7.110.427.615"
I182000657,Larceny,"03/01/2018 14:50","Part One",4.235.913.227,"-7.107.074.326"
I182000796,Robbery,"03/01/2018 15:00","Part One",4.226.194.848,"-7.110.971.613"
I182000913,Larceny,"03/01/2018 15:00","Part One",4.231.596.900,"-7.106.625.300"
I182000701,Larceny,"03/01/2018 15:49","Part One",4.233.621.941,"-7.107.733.761"
I182000693,"Larceny From Motor Vehicle","03/01/2018 16:04","Part One",4.232.483.301,"-7.110.164.757"
I182000728,"Residential Burglary","03/01/2018 16:35","Part One",4.230.465.897,"-7.106.912.603"
I182001145,Larceny,"03/01/2018 16:45","Part One",4.234.815.229,"-7.108.450.821"
I182000744,"Aggravated Assault","03/01/2018 16:53","Part One",4.237.056.285,"-7.106.077.324"
I182000727,Larceny,"03/01/2018 17:00","Part One",4.232.291.406,"-7.110.328.402"
