incident_number,offense_code_group,occurred_on_date,lat,long
I192009677,Auto Theft,25/11/2018 16:12,4.225.395.990,-7.111.962.283
I192006580,Larceny,29/11/2018 00:00,4.234.937.839,-7.113.249.037
I192003715,Residential Burglary,22/12/2018 15:30,4.235.540.113,-7.113.090.649
I192002932,Larceny,30/11/2018 08:00,4.235.706.678,-7.113.375.534
I192002141,Larceny,28/12/2018 00:00,4.232.525.553,-7.109.365.254
I192001070,Larceny,25/10/2018 16:10,4.235.942.556,-7.105.288.819
I192000608,Larceny,13/12/2018 19:00,4.234.813.158,-7.108.027.002
I192000261,Residential Burglary,26/12/2018 12:00,4.235.127.685,-7.113.587.892
I182105242,Larceny,20/12/2018 14:00,4.233.482.917,-7.104.705.015
I182105123,Larceny From Motor Vehicle,30/12/2018 20:30,4.234.280.177,-7.110.069.510
I182105052,Residential Burglary,31/12/2018 03:28,4.226.904.349,-7.116.631.361
I182104930,Larceny,28/12/2018 11:56,4.235.007.201,-7.113.202.926
I182104812,Larceny From Motor Vehicle,29/12/2018 23:48,4.236.067.984,-7.105.482.325
I182104711,Aggravated Assault,29/12/2018 18:50,4.229.549.223,-7.108.587.040
I182104593,Larceny,29/12/2018 08:14,4.230.018.979,-7.108.244.261
I182104494,Larceny,14/11/2018 00:00,4.235.360.676,-7.116.662.133
I182104435,Larceny,25/12/2018 07:29,4.234.373.406,-7.107.419.160
I182104350,Residential Burglary,28/12/2018 07:16,4.228.508.809,-7.108.789.462
I182104242,Larceny From Motor Vehicle,26/12/2018 19:00,4.234.725.924,-7.106.177.039
I182104119,Larceny,11/12/2018 00:00,4.229.202.056,-7.106.681.679
I182103978,Larceny,26/12/2018 16:25,4.235.942.556,-7.105.288.819
I182103906,Larceny,26/12/2018 10:23,4.234.615.178,-7.107.404.347
I182103840,Larceny From Motor Vehicle,25/12/2018 22:35,4.235.030.915,-7.107.988.963
I182103730,Residential Burglary,25/12/2018 08:06,4.234.337.030,-7.107.552.817
I182103605,Larceny,24/12/2018 14:45,4.236.165.196,-7.105.630.529
I182103540,Larceny,18/12/2018 00:00,4.231.915.678,-7.110.067.583
I182103424,Larceny,23/12/2018 16:00,4.229.850.850,-7.106.786.956
I182103324,Larceny From Motor Vehicle,22/12/2018 18:30,4.234.924.680,-7.108.956.259
I182103180,Larceny From Motor Vehicle,22/12/2018 13:00,4.233.719.922,-7.104.250.150
I182103120,Aggravated Assault,22/12/2018 13:52,4.233.210.843,-7.107.014.395
I182103046,Larceny,07/12/2018 10:00,4.234.617.617,-7.115.448.684
I182102957,Robbery,21/12/2018 23:38,4.237.764.002,-7.103.151.871
