incident_number,offense_code_group,occurred_on_date,lat,long
I192013261,Larceny,05/10/2018 00:00,4.226.634.159,-7.115.147.265
I192009687,Auto Theft,12/12/2018 15:57,4.225.395.990,-7.111.962.283
I192008634,Larceny,06/12/2018 13:25,4.233.511.904,-7.107.491.710
I192007012,Larceny,03/09/2018 00:00,4.233.548.200,-7.107.586.449
I192005686,Auto Theft,25/10/2018 08:00,4.224.807.145,-7.113.799.559
I192004081,Larceny,10/11/2018 00:00,4.229.036.711,-7.105.638.317
I192003261,Larceny From Motor Vehicle,29/12/2018 20:30,4.236.062.746,-7.105.601.800
I192003189,Aggravated Assault,30/12/2018 18:30,4.233.596.847,-7.108.129.856
I192002736,Larceny From Motor Vehicle,27/12/2018 19:00,4.227.076.625,-7.110.750.829
I192002387,Larceny,16/11/2018 05:00,4.235.788.876,-7.106.010.047
I192002042,Auto Theft,31/12/2018 12:30,4.234.586.770,-7.108.318.913
I192001367,Larceny,30/12/2018 20:50,4.234.348.107,-7.108.250.256
I192001048,Larceny,27/12/2018 11:00,4.234.601.613,-7.109.381.210
I192000757,Larceny,19/12/2018 10:00,4.232.155.229,-7.110.244.044
I192000608,Larceny,13/12/2018 19:00,4.234.813.158,-7.108.027.002
I192000448,Residential Burglary,21/12/2018 09:00,4.234.412.614,-7.106.980.220
I192000340,Auto Theft,31/12/2018 21:00,4.226.846.689,-7.112.869.578
I192000111,Larceny From Motor Vehicle,31/12/2018 21:30,4.235.367.844,-7.112.861.785
I182105248,Larceny,31/12/2018 21:57,4.230.889.362,-7.107.410.474
I182105200,Larceny,31/12/2018 18:00,4.232.696.647,-7.106.198.607
I182105144,Larceny,31/12/2018 14:38,4.234.968.872,-7.107.711.256
I182105105,Residential Burglary,30/12/2018 14:00,4.236.132.480,-7.105.243.553
I182105061,Larceny,29/12/2018 16:30,4.235.521.625,-7.106.012.863
I182105025,Larceny,31/12/2018 00:05,4.230.288.559,-7.107.056.121
I182104962,Larceny,30/12/2018 17:10,4.235.512.339,-7.106.087.980
I182104923,Commercial Burglary,30/12/2018 15:20,4.236.284.173,-7.113.792.234
I182104873,Residential Burglary,30/12/2018 08:45,4.234.153.413,-7.108.174.368
I182104797,Aggravated Assault,30/12/2018 02:59,4.232.755.105,-7.106.916.180
I182104761,Larceny From Motor Vehicle,29/12/2018 19:30,4.234.924.680,-7.108.956.259
I182104711,Aggravated Assault,29/12/2018 18:50,4.229.549.223,-7.108.587.040
I182104684,Larceny,29/12/2018 16:00,4.235.754.620,-7.105.881.953
I182104615,Aggravated Assault,11/11/2018 03:00,4.235.081.057,-7.105.809.136
I182104547,Residential Burglary,28/12/2018 23:49,4.228.386.565,-7.113.470.784
I182104500,Aggravated Assault,28/12/2018 18:40,4.233.528.037,-7.109.871.260
I182104474,Residential Burglary,28/12/2018 08:35,4.225.533.058,-7.112.859.511
I182104451,Larceny,28/12/2018 12:30,4.232.194.180,-7.111.469.006
I182104421,Larceny,27/12/2018 22:30,4.234.750.472,-7.109.346.470
I182104405,Larceny,28/12/2018 11:52,4.234.225.675,-7.105.405.876
I182104323,Larceny From Motor Vehicle,28/12/2018 04:01,4.235.723.474,-7.114.703.266
I182104272,Larceny,22/12/2018 12:10,4.233.420.986,-7.111.103.286
I182104223,Larceny,27/12/2018 16:49,4.234.932.471,-7.108.014.801
I182104152,Larceny,27/12/2018 13:14,4.231.929.343,-7.111.178.236
I182104110,Larceny From Motor Vehicle,27/12/2018 09:30,4.232.470.190,-7.107.542.683
I182104014,Residential Burglary,23/12/2018 00:01,4.228.761.479,-7.112.090.458
I182103978,Larceny,26/12/2018 16:25,4.235.942.556,-7.105.288.819
I182103940,Larceny,16/12/2018 00:00,4.231.038.717,-7.108.054.530
I182103912,Larceny,21/12/2018 17:30,4.232.264.639,-7.107.603.808
I182103876,Larceny From Motor Vehicle,26/12/2018 08:56,4.234.915.500,-7.109.392.109
I182103847,Robbery,25/12/2018 23:43,4.229.040.923,-7.107.693.574
I182103829,Robbery,25/12/2018 20:41,4.232.856.401,-7.106.835.343
I182103757,Aggravated Assault,25/12/2018 11:48,4.232.949.944,-7.105.701.312
I182103686,Larceny,25/12/2018 00:35,4.235.178.454,-7.105.590.762
I182103612,Larceny,22/12/2018 13:30,4.234.095.802,-7.106.760.101
I182103591,Larceny,24/12/2018 15:15,4.235.118.005,-7.107.666.607
I182103561,Larceny,23/12/2018 11:42,4.235.009.599,-7.107.732.110
I182103534,Larceny From Motor Vehicle,24/12/2018 06:30,4.227.938.152,-7.107.661.753
I182103462,Residential Burglary,23/12/2018 21:51,4.231.897.920,-7.107.964.653
I182103413,Residential Burglary,23/12/2018 17:00,4.234.886.600,-7.108.936.284
I182103374,Larceny From Motor Vehicle,10/12/2018 10:00,4.230.599.025,-7.106.350.762
I182103324,Larceny From Motor Vehicle,22/12/2018 18:30,4.234.924.680,-7.108.956.259
I182103223,Residential Burglary,22/12/2018 22:26,4.225.109.643,-7.111.540.455
I182103195,Larceny,22/12/2018 19:33,4.227.219.089,-7.109.351.043
I182103151,Larceny,20/12/2018 16:30,4.231.193.478,-7.107.341.982
I182103138,Auto Theft,22/12/2018 16:35,4.232.192.504,-7.109.229.383
I182103099,Larceny,22/12/2018 13:45,4.230.938.437,-7.108.262.277
I182103069,Commercial Burglary,04/12/2018 05:15,4.234.803.673,-7.114.024.723
I182103022,Larceny,21/12/2018 08:45,4.231.431.670,-7.110.309.424
I182102972,Robbery,22/12/2018 00:01,4.237.663.167,-7.105.593.196
I182102923,Larceny From Motor Vehicle,21/12/2018 16:30,4.230.664.081,-7.108.584.976
I182102874,Aggravated Assault,21/12/2018 18:00,4.233.511.904,-7.107.491.710
I182102829,Larceny,03/12/2018 15:47,4.235.339.757,-7.113.621.920
I182102782,Larceny,21/12/2018 13:45,4.236.122.324,-7.106.593.235
I182102768,Larceny,19/12/2018 17:10,4.229.290.563,-7.106.955.795
I182102684,Homicide,21/12/2018 00:34,4.231.803.027,-7.107.787.472
I182102621,Larceny,20/12/2018 09:30,4.230.356.539,-7.107.868.148
I182102553,Commercial Burglary,19/12/2018 16:00,4.226.866.684,-7.114.904.534
I182102506,Larceny From Motor Vehicle,20/12/2018 11:00,4.235.332.464,-7.105.727.637
I182102446,Aggravated Assault,19/12/2018 00:00,4.230.424.082,-7.110.967.183
I182102417,Larceny From Motor Vehicle,20/12/2018 08:23,4.233.903.373,-7.107.997.273
I182102338,Residential Burglary,19/12/2018 16:00,4.226.483.265,-7.115.567.877
I182102298,Larceny,19/12/2018 17:55,4.235.325.379,-7.104.872.410
I182102240,Larceny,19/12/2018 16:13,4.230.626.249,-7.107.633.157
I182102199,Larceny From Motor Vehicle,18/12/2018 18:00,4.230.006.791,-7.108.430.796
I182102178,Commercial Burglary,16/12/2018 06:15,4.234.800.978,-7.107.669.760
I182102142,Aggravated Assault,19/12/2018 11:07,4.228.368.807,-7.106.587.898
I182102088,Larceny From Motor Vehicle,18/12/2018 21:00,4.234.820.740,-7.110.491.095
I182102045,Robbery,18/12/2018 22:49,4.234.516.984,-7.107.849.196
I182102010,Aggravated Assault,18/12/2018 20:32,4.227.831.903,-7.113.304.575
I182101958,Larceny,13/12/2018 12:00,4.233.598.510,-7.105.008.287
I182101913,Larceny,17/12/2018 23:00,4.235.785.938,-7.113.368.353
I182101888,Residential Burglary,18/12/2018 13:39,4.237.129.530,-7.104.342.377
I182101851,Residential Burglary,18/12/2018 13:02,4.232.681.883,-7.107.779.112
I182101822,Auto Theft,12/10/2018 13:33,4.239.352.862,-7.101.158.244
I182101794,Larceny From Motor Vehicle,18/12/2018 09:46,4.227.892.192,-7.109.499.519
I182101770,Larceny From Motor Vehicle,15/12/2018 17:30,4.228.020.859,-7.117.680.515
I182101739,Larceny From Motor Vehicle,18/12/2018 04:00,4.228.030.054,-7.107.040.618
I182101720,Larceny From Motor Vehicle,17/12/2018 22:00,4.227.882.467,-7.109.405.158
I182101670,Robbery,17/12/2018 21:45,4.236.475.392,-7.105.469.547
I182101617,Aggravated Assault,17/12/2018 18:13,4.231.319.382,-7.106.500.833
I182101575,Larceny,17/12/2018 16:18,4.230.171.653,-7.105.991.401
I182101553,Residential Burglary,17/12/2018 14:51,4.230.542.129,-7.111.325.289
I182101525,Aggravated Assault,17/12/2018 13:55,4.233.857.289,-7.105.575.501
I182101500,Larceny From Motor Vehicle,17/12/2018 10:51,4.232.146.220,-7.107.803.670
I182101477,Auto Theft,16/12/2018 23:30,4.228.329.468,-7.108.824.065
I182101433,Larceny From Motor Vehicle,17/12/2018 08:20,4.231.681.029,-7.110.056.562
I182101351,Robbery,16/12/2018 21:15,4.235.521.625,-7.106.012.863
I182101291,Larceny,16/12/2018 17:01,4.230.422.176,-7.107.918.459
I182101244,Larceny,16/12/2018 14:23,4.234.749.899,-7.107.925.506
I182101213,Larceny,16/12/2018 11:12,4.231.860.134,-7.108.405.792
I182101156,Larceny,16/12/2018 04:32,4.234.577.820,-7.108.429.595
I182101127,Larceny,16/12/2018 00:47,4.233.816.387,-7.107.461.217
I182101094,Robbery,15/12/2018 21:12,4.230.511.791,-7.108.019.088
I182101051,Larceny,14/12/2018 15:38,4.236.106.519,-7.106.910.651
I182101026,Larceny,15/12/2018 15:01,4.230.007.731,-7.107.990.164
I182101012,Larceny From Motor Vehicle,14/12/2018 18:00,4.230.328.747,-7.106.363.409
I182100980,Larceny,14/12/2018 21:30,4.235.969.525,-7.105.401.301
I182100901,Aggravated Assault,15/12/2018 03:00,4.237.215.880,-7.103.852.378
I182100834,Larceny,14/12/2018 14:40,4.235.107.111,-7.112.570.166
I182100804,Aggravated Assault,14/12/2018 19:14,4.230.402.156,-7.106.459.170
I182100785,Larceny,14/12/2018 18:46,4.234.840.576,-7.108.688.339
I182100721,Aggravated Assault,14/12/2018 14:40,4.230.027.166,-7.106.838.949
I182100669,Auto Theft,11/12/2018 15:00,4.232.632.116,-7.108.832.542
I182100608,Larceny,14/12/2018 02:50,4.235.213.476,-7.106.266.757
I182100560,Larceny,13/12/2018 19:27,4.233.400.810,-7.110.527.895
I182100535,Larceny,12/12/2018 11:00,4.235.288.887,-7.113.928.635
I182100480,Residential Burglary,10/12/2018 15:40,4.231.598.547,-7.107.986.094
I182100419,Larceny,06/12/2018 10:50,4.235.283.155,-7.113.114.273
I182100369,Commercial Burglary,13/12/2018 09:29,4.235.698.857,-7.106.084.937
I182100333,Larceny From Motor Vehicle,13/12/2018 05:12,4.232.852.096,-7.110.865.289
I182100273,Larceny,12/12/2018 18:14,4.233.380.683,-7.110.377.843
I182100233,Larceny,11/12/2018 15:30,4.234.898.076,-7.106.729.522
I182100198,Larceny,11/12/2018 16:15,4.233.701.354,-7.105.293.594
I182100162,Robbery,08/12/2018 02:00,4.230.175.853,-7.107.462.980
I182100144,Residential Burglary,12/12/2018 13:49,4.231.609.551,-7.108.713.118
I182100100,Larceny,12/12/2018 11:51,4.228.716.674,-7.107.633.479
I182100081,Robbery,12/12/2018 09:41,4.231.011.153,-7.108.298.990
I182100051,Larceny From Motor Vehicle,11/12/2018 17:30,4.232.563.628,-7.107.516.061
I182099988,Larceny,11/12/2018 21:21,4.235.512.339,-7.106.087.980
I182099968,Larceny,08/11/2018 12:00,4.235.043.273,-7.112.710.480
I182099938,Auto Theft,07/12/2018 18:00,4.228.933.096,-7.108.351.742
I182099858,Larceny,11/12/2018 14:54,4.233.294.125,-7.104.941.217
I182099824,Robbery,10/12/2018 14:30,4.232.849.656,-7.108.089.725
I182099785,Auto Theft,08/12/2018 15:00,4.238.934.658,-7.100.516.847
I182099703,Larceny,10/12/2018 21:10,4.235.602.373,-7.106.177.615
I182099655,Larceny,10/12/2018 14:23,4.235.872.111,-7.105.781.197
I182099593,Larceny,10/12/2018 16:36,4.231.324.982,-7.110.181.891
I182099550,Larceny,10/12/2018 13:54,4.232.809.966,-7.106.321.676
I182099525,Larceny,07/12/2018 14:52,4.234.355.868,-7.108.734.146
I182099494,Larceny,10/12/2018 11:01,4.235.095.909,-7.107.412.780
I182099407,Larceny From Motor Vehicle,10/12/2018 00:36,4.236.067.984,-7.105.482.325
I182099349,Larceny,09/12/2018 19:20,4.232.809.966,-7.106.321.676
I182099294,Robbery,09/12/2018 17:11,4.230.782.846,-7.105.837.474
I182099269,Aggravated Assault,09/12/2018 14:32,4.227.132.494,-7.116.950.915
I182099251,Larceny,19/11/2018 12:00,4.232.445.979,-7.105.961.287
I182099198,Larceny From Motor Vehicle,02/12/2018 20:00,4.235.433.643,-7.107.323.767
I182099137,Larceny,09/12/2018 01:21,4.235.043.297,-7.105.873.158
I182099083,Larceny,08/12/2018 20:11,4.230.938.437,-7.108.262.277
I182099055,Larceny,08/12/2018 18:43,4.230.684.828,-7.106.392.365
I182099009,Larceny,08/12/2018 15:34,4.230.098.889,-7.112.708.146
I182098966,Larceny,07/12/2018 17:30,4.234.640.381,-7.107.551.289
I182098932,Aggravated Assault,08/12/2018 11:34,4.233.611.200,-7.104.665.434
I182098875,Robbery,08/12/2018 02:30,4.233.597.508,-7.107.384.928
I182098798,Larceny,07/12/2018 15:45,4.233.326.323,-7.110.848.410
I182098749,Residential Burglary,07/12/2018 15:45,4.225.947.104,-7.115.077.874
I182098712,Larceny,07/12/2018 14:38,4.228.446.743,-7.111.183.089
I182098657,Larceny,07/12/2018 12:26,4.230.971.857,-7.110.429.432
I182098620,Larceny,24/11/2018 23:00,4.223.949.178,-7.113.595.442
I182098534,Larceny,06/12/2018 21:01,4.231.230.443,-7.109.660.909
I182098511,Auto Theft,06/12/2018 20:27,4.233.731.438,-7.104.852.327
I182098448,Larceny,06/12/2018 16:18,4.230.892.227,-7.109.986.991
I182098417,Auto Theft,22/11/2018 16:00,4.236.139.413,-7.105.768.690
I182098379,Larceny,30/11/2018 00:00,4.231.351.886,-7.105.356.300
I182098349,Larceny,02/12/2018 18:00,4.235.512.339,-7.106.087.980
I182098319,Larceny,04/12/2018 14:00,4.234.361.340,-7.110.130.276
I182098246,Larceny From Motor Vehicle,05/12/2018 17:50,4.232.153.248,-7.107.738.533
I182098181,Larceny,05/12/2018 13:50,4.235.079.907,-7.106.500.775
I182098158,Larceny From Motor Vehicle,05/12/2018 16:29,4.228.570.817,-7.111.458.324
I182098085,Larceny,01/12/2018 13:19,4.234.635.344,-7.110.381.810
I182098019,Residential Burglary,22/11/2018 22:27,4.231.430.470,-7.109.391.348
I182097954,Auto Theft,04/12/2018 23:15,4.232.742.591,-7.107.702.562
I182097898,Larceny,04/12/2018 19:07,4.234.980.175,-7.107.840.978
I182097850,Residential Burglary,04/12/2018 15:40,4.235.867.769,-7.112.759.950
I182097815,Larceny,30/11/2018 15:45,4.234.044.966,-7.108.845.935
I182097744,Larceny,04/12/2018 12:29,4.228.267.661,-7.108.283.064
I182097667,Larceny,30/10/2018 00:00,4.229.045.661,-7.109.355.289
I182097636,Aggravated Assault,04/12/2018 04:19,4.231.254.970,-7.108.757.081
I182097579,Robbery,03/12/2018 20:40,4.235.314.285,-7.106.144.288
I182097542,Larceny,03/12/2018 19:20,4.228.446.743,-7.111.183.089
I182097521,Larceny,03/12/2018 17:08,4.227.379.864,-7.106.839.030
I182097492,Aggravated Assault,03/12/2018 17:15,4.231.283.412,-7.108.974.712
I182097444,Larceny From Motor Vehicle,03/12/2018 14:20,4.235.042.609,-7.116.637.332
I182097420,Larceny,03/12/2018 13:25,4.231.546.333,-7.105.444.093
I182097367,Larceny,01/12/2018 10:00,4.232.435.506,-7.107.440.305
I182097303,Robbery,03/12/2018 04:00,4.228.152.555,-7.112.059.098
I182097240,Larceny,02/12/2018 20:22,4.225.843.097,-7.111.586.289
I182097208,Robbery,02/12/2018 17:26,4.233.543.394,-7.108.076.738
I182097166,Larceny,02/12/2018 13:24,4.235.783.831,-7.105.795.495
I182097112,Larceny,02/12/2018 09:14,4.234.442.266,-7.109.833.083
I182097085,Larceny,30/11/2018 23:30,4.233.961.848,-7.108.285.580
I182097034,Larceny,02/12/2018 00:06,4.237.505.251,-7.103.883.891
I182096982,Larceny,01/12/2018 17:52,4.233.279.607,-7.110.793.327
I182096965,Larceny From Motor Vehicle,01/12/2018 18:29,4.234.522.836,-7.108.537.838
I182096933,Aggravated Assault,01/12/2018 15:58,4.230.443.502,-7.106.862.907
I182096886,Larceny,01/12/2018 13:43,4.235.275.617,-7.104.748.128
I182096846,Larceny,01/12/2018 11:24,4.234.797.240,-7.107.849.582
I182096819,Aggravated Assault,01/12/2018 08:05,4.232.445.145,-7.105.810.680
I182096780,Larceny From Motor Vehicle,01/12/2018 01:00,4.235.204.779,-7.113.180.684
I182096715,Larceny,30/11/2018 20:26,4.234.862.382,-7.108.277.637
I182096692,Aggravated Assault,30/11/2018 19:30,4.229.733.660,-7.108.729.604
I182096653,Larceny,21/11/2018 12:23,4.234.507.147,-7.108.057.788
I182096626,Larceny,30/11/2018 14:00,4.234.410.718,-7.110.180.260
I182096585,Larceny From Motor Vehicle,30/11/2018 14:00,4.235.595.391,-7.113.852.468
I182096551,Larceny,30/11/2018 11:30,4.236.179.428,-7.105.711.270
I182096502,Auto Theft,30/11/2018 10:51,4.232.222.630,-7.110.662.828
I182096461,Auto Theft,29/11/2018 17:45,4.229.115.900,-7.111.844.000
I182096375,Aggravated Assault,29/11/2018 19:00,4.233.731.438,-7.104.852.327
I182096338,Larceny,29/11/2018 13:00,4.235.574.817,-7.115.989.759
I182096319,Auto Theft,24/11/2018 14:30,4.227.119.410,-7.110.398.639
I182096271,Larceny,29/11/2018 13:56,4.230.482.874,-7.111.338.552
I182096221,Larceny,26/11/2018 08:00,4.232.893.710,-7.105.571.742
I182096181,Aggravated Assault,28/11/2018 00:00,4.233.081.371,-7.105.136.798
I182096148,Larceny,27/11/2018 10:15,4.235.892.253,-7.105.635.419
I182096121,Commercial Burglary,29/11/2018 03:05,4.229.576.380,-7.108.756.002
I182096089,Larceny,28/11/2018 22:21,4.235.788.876,-7.106.010.047
I182096044,Larceny,28/11/2018 19:36,4.228.927.291,-7.106.622.608
I182096006,Larceny,27/11/2018 18:43,4.233.225.457,-7.111.160.342
I182095960,Larceny From Motor Vehicle,27/11/2018 22:00,4.228.199.634,-7.108.661.103
I182095908,Larceny From Motor Vehicle,13/10/2018 02:30,4.235.768.645,-7.106.075.134
I182095859,Larceny,28/11/2018 09:25,4.235.512.339,-7.106.087.980
I182095818,Auto Theft,28/11/2018 02:30,4.231.905.213,-7.108.411.413
I182095760,Larceny From Motor Vehicle,27/11/2018 21:03,4.228.520.517,-7.114.369.114
I182095740,Larceny,27/11/2018 18:45,4.232.809.966,-7.106.321.676
I182095713,Larceny,27/11/2018 17:28,4.234.163.892,-7.105.156.725
I182095690,Larceny,26/11/2018 13:00,4.234.634.313,-7.108.482.013
I182095652,Aggravated Assault,27/11/2018 14:06,4.232.547.404,-7.108.749.972
I182095630,Larceny,18/11/2018 12:45,4.234.942.864,-7.106.536.641
I182095611,Larceny,27/11/2018 12:25,4.232.696.647,-7.106.198.607
I182095564,Larceny,27/11/2018 10:10,4.236.284.173,-7.113.792.234
I182095527,Auto Theft,27/11/2018 06:47,4.234.997.840,-7.105.683.752
I182095452,Larceny,26/11/2018 20:21,4.232.183.637,-7.105.928.338
I182095410,Residential Burglary,26/11/2018 18:33,4.226.618.911,-7.110.059.268
I182095366,Larceny,26/11/2018 15:45,4.232.183.637,-7.105.928.338
I182095335,Larceny,26/11/2018 14:28,4.234.227.908,-7.109.152.151
I182095293,Larceny,17/11/2018 23:00,4.234.376.458,-7.108.866.865
I182095263,Larceny,27/10/2018 12:02,4.235.043.273,-7.112.710.480
