incident_number,offense_code_group,occurred_on_date,lat,long
I182095228,Larceny,26/11/2018 09:07,4.226.817.397,-7.109.387.677
I182095202,Larceny From Motor Vehicle,26/11/2018 08:32,4.231.847.226,-7.108.409.289
I182095145,Commercial Burglary,25/11/2018 21:03,4.231.240.781,-7.108.032.578
I182095106,Larceny,25/11/2018 18:28,4.235.095.909,-7.107.412.780
I182095080,Larceny,21/11/2018 22:00,4.235.027.601,-7.104.833.731
I182095053,Larceny,25/11/2018 14:37,4.234.095.802,-7.106.760.101
I182095019,Larceny From Motor Vehicle,25/11/2018 11:27,4.227.832.825,-7.111.570.522
I182094977,Robbery,25/11/2018 04:42,4.233.186.291,-7.111.239.420
I182094910,Larceny From Motor Vehicle,24/11/2018 21:44,4.226.204.916,-7.115.635.818
I182094866,Larceny,22/11/2018 12:00,4.231.727.185,-7.106.218.928
I182094831,Larceny,07/11/2018 08:00,4.227.168.778,-7.112.727.878
I182094806,Larceny,24/11/2018 12:39,4.232.809.577,-7.109.974.298
I182094774,Larceny,24/11/2018 10:01,4.231.283.412,-7.108.974.712
I182094740,Aggravated Assault,24/11/2018 03:50,4.231.290.648,-7.105.762.325
I182094688,Aggravated Assault,23/11/2018 22:08,4.233.611.200,-7.104.665.434
I182094636,Larceny,23/11/2018 18:37,4.233.765.093,-7.107.215.567
I182094553,Larceny,23/11/2018 11:57,4.234.241.899,-7.109.678.306
I182094523,Residential Burglary,23/11/2018 10:22,4.233.677.663,-7.107.464.452
I182094466,Commercial Burglary,22/11/2018 23:13,4.236.033.536,-7.107.081.975
I182094420,Larceny,17/11/2018 00:00,4.230.204.532,-7.107.071.522
I182094385,Residential Burglary,22/11/2018 08:24,4.230.450.830,-7.108.075.871
I182094320,Larceny,21/11/2018 22:17,4.234.749.899,-7.107.925.506
I182094270,Homicide,21/11/2018 16:06,4.231.748.189,-7.106.450.704
I182094242,Aggravated Assault,21/11/2018 15:41,4.231.250.552,-7.108.314.735
I182094198,Residential Burglary,17/11/2018 23:00,4.233.965.959,-7.106.700.618
I182094132,Larceny,20/11/2018 13:08,4.234.862.382,-7.108.277.637
I182094078,Aggravated Assault,21/11/2018 01:51,4.235.085.371,-7.113.125.747
I182094022,Robbery,20/11/2018 20:09,4.233.961.962,-7.107.699.237
I182093965,Larceny,20/11/2018 16:50,4.227.968.299,-7.109.286.048
I182093923,Larceny,20/11/2018 15:40,4.230.010.597,-7.107.102.710
I182093888,Larceny,20/11/2018 13:03,4.233.094.752,-7.108.285.104
I182093848,Residential Burglary,20/11/2018 12:36,4.231.385.824,-7.107.929.233
I182093817,Aggravated Assault,20/11/2018 09:10,4.234.988.575,-7.114.522.971
I182093780,Larceny,20/11/2018 01:43,4.231.193.403,-7.111.429.090
I182093712,Larceny,17/11/2018 19:45,4.232.453.860,-7.108.821.844
I182093683,Larceny,19/11/2018 13:00,4.234.857.652,-7.107.772.012
I182093649,Auto Theft,19/11/2018 11:00,4.231.959.298,-7.106.260.700
I182093580,Larceny From Motor Vehicle,19/11/2018 11:01,4.233.129.745,-7.104.864.886
I182093522,Auto Theft,02/11/2018 09:00,4.230.962.068,-7.106.006.083
I182093476,Residential Burglary,18/11/2018 22:53,4.231.975.730,-7.105.428.941
I182093433,Larceny,18/11/2018 18:47,4.235.512.339,-7.106.087.980
I182093395,Larceny,18/11/2018 16:10,4.235.512.339,-7.106.087.980
I182093347,Residential Burglary,18/11/2018 12:58,4.227.132.363,-7.108.183.509
I182093313,Larceny From Motor Vehicle,14/11/2018 07:00,4.226.788.791,-7.110.067.012
I182093255,Larceny,18/11/2018 02:45,4.229.681.643,-7.104.853.785
I182093223,Aggravated Assault,18/11/2018 00:34,4.226.888.613,-7.109.616.175
I182093169,Auto Theft,17/11/2018 18:50,4.232.743.066,-7.105.690.362
I182093142,Aggravated Assault,17/11/2018 18:24,4.227.245.651,-7.110.731.992
I182093092,Larceny From Motor Vehicle,17/11/2018 16:30,4.233.483.110,-7.107.904.134
I182093026,Larceny From Motor Vehicle,17/11/2018 09:09,4.232.993.148,-7.108.214.931
I182092997,Larceny,16/11/2018 21:00,4.236.658.726,-7.106.019.881
I182092956,Robbery,17/11/2018 05:44,4.235.067.063,-7.107.520.557
I182092889,Larceny,16/11/2018 20:00,4.235.160.937,-7.105.600.201
I182092852,Larceny,16/11/2018 18:21,4.235.827.471,-7.107.057.867
I182092770,Larceny,16/11/2018 14:54,4.233.755.715,-7.107.836.018
I182092718,Larceny,09/11/2018 00:00,4.233.209.622,-7.109.860.557
I182092647,Robbery,16/11/2018 08:34,4.234.499.963,-7.114.507.819
I182092572,Larceny,15/11/2018 16:30,4.237.537.093,-7.106.468.508
I182092541,Larceny,15/11/2018 17:06,4.232.696.647,-7.106.198.607
I182092510,Larceny From Motor Vehicle,13/11/2018 21:30,4.228.720.741,-7.109.489.212
I182092446,Aggravated Assault,14/11/2018 13:30,4.229.993.995,-7.108.621.901
I182092414,Larceny From Motor Vehicle,15/11/2018 09:53,4.228.250.165,-7.106.363.830
I182092372,Larceny From Motor Vehicle,15/11/2018 07:16,4.228.083.064,-7.106.280.984
I182092325,Larceny,13/11/2018 07:00,4.238.914.357,-7.100.166.073
I182092273,Residential Burglary,14/11/2018 18:41,4.238.418.435,-7.101.605.543
I182092213,Larceny,13/11/2018 16:00,4.234.095.802,-7.106.760.101
I182092176,Larceny,14/11/2018 12:25,4.234.862.382,-7.108.277.637
I182092113,Larceny From Motor Vehicle,11/11/2018 15:00,4.228.342.716,-7.112.422.635
I182092063,Aggravated Assault,09/11/2018 07:00,4.237.913.440,-7.106.685.375
I182092034,Aggravated Assault,14/11/2018 05:34,4.233.536.755,-7.105.081.638
I182091984,Robbery,13/11/2018 20:13,4.230.369.670,-7.107.104.897
I182091945,Larceny,19/10/2018 17:08,4.234.698.823,-7.109.874.531
I182091907,Larceny,13/11/2018 15:53,4.234.840.576,-7.108.688.339
I182091821,Larceny,13/11/2018 10:04,4.235.952.409,-7.106.883.721
I182091791,Larceny From Motor Vehicle,13/11/2018 11:22,4.225.696.794,-7.111.903.025
I182091747,Larceny From Motor Vehicle,29/10/2018 05:00,4.225.349.956,-7.111.792.895
I182091697,Larceny From Motor Vehicle,10/11/2018 18:00,4.228.867.196,-7.114.214.647
I182091663,Larceny,12/11/2018 18:47,4.234.347.698,-7.107.822.747
I182091628,Larceny,07/11/2018 19:00,4.228.079.658,-7.109.039.724
I182091590,Larceny,05/11/2018 00:01,4.234.601.613,-7.109.381.210
I182091548,Larceny,09/11/2018 23:30,4.236.481.242,-7.106.239.330
I182091530,Auto Theft,12/11/2018 10:05,4.238.969.786,-7.100.957.095
I182091479,Larceny,11/11/2018 23:30,4.232.809.966,-7.106.321.676
I182091434,Larceny From Motor Vehicle,11/11/2018 19:26,4.236.160.060,-7.105.296.127
I182091394,Larceny From Motor Vehicle,11/11/2018 11:23,4.232.332.676,-7.110.525.868
I182091362,Larceny From Motor Vehicle,10/11/2018 16:00,4.233.142.637,-7.103.820.913
I182091245,Aggravated Assault,11/11/2018 00:00,4.236.068.787,-7.105.687.293
I182091171,Larceny,10/11/2018 18:02,4.227.791.927,-7.109.640.610
I182091143,Larceny From Motor Vehicle,15/07/2018 09:00,4.225.967.974,-7.115.037.608
I182091107,Larceny,09/11/2018 16:30,4.235.422.020,-7.105.627.778
I182091069,Auto Theft,08/11/2018 08:00,4.234.724.186,-7.114.870.339
I182091000,Aggravated Assault,10/11/2018 01:42,4.236.020.464,-7.105.620.816
I182090969,Larceny From Motor Vehicle,10/11/2018 00:13,4.235.055.412,-7.109.056.227
I182090899,Larceny,09/11/2018 17:22,4.235.095.909,-7.107.412.780
I182090870,Larceny,09/11/2018 14:54,4.234.980.175,-7.107.840.978
I182090816,Larceny,08/11/2018 09:50,4.233.093.363,-7.110.956.443
I182090778,Larceny,06/11/2018 15:00,4.233.374.643,-7.107.020.353
I182090742,Robbery,09/11/2018 04:02,4.237.757.302,-7.102.985.538
I182090681,Aggravated Assault,08/11/2018 18:00,4.233.123.776,-7.109.140.736
I182090641,Auto Theft,06/11/2018 22:00,4.232.859.767,-7.105.363.334
I182090609,Larceny,06/11/2018 19:00,4.235.754.620,-7.105.881.953
